hot_inlet_temperature_k,cold_inlet_mass_flow_kg_s,hot_outlet_temperature_k,cold_outlet_temperature_k,hx_1_heat_load_kw,hot_outlet_pressure_pa,cold_outlet_pressure_pa,hot_outlet_mass_flow_kg_s,cold_outlet_mass_flow_kg_s,hx_1_logarithmic_mean_temperature_difference_lmtd_k,hot_inlet_temperature_k_noisy,cold_inlet_mass_flow_kg_s_noisy,hot_outlet_temperature_k_noisy,cold_outlet_temperature_k_noisy,hx_1_heat_load_kw_noisy,hot_outlet_pressure_pa_noisy,cold_outlet_pressure_pa_noisy,hot_outlet_mass_flow_kg_s_noisy,cold_outlet_mass_flow_kg_s_noisy,hx_1_logarithmic_mean_temperature_difference_lmtd_k_noisy
375.17,3.5,375.523,2011.51,74.5898,500000,100000,1,3.5,74.5898,390.5906155112567,3.765883861440863,368.5801436491832,2283.218762531042,74.11167499867106,482403.3846339898,102803.86637505432,1.092464814035111,3.285351747443045,80.53736645006062
375.17,4.0,375.455,2011.51,74.8764,500000,100000,1,4.0,74.8764,402.4361189863556,4.109914863212889,373.2463330545809,2555.919061176837,56.97345801473992,500544.8053267076,100767.5865755846,0.93871219426717,4.115205221324033,69.92297520383599
375.17,4.5,375.402,2011.51,75.1002,500000,100000,1,4.5,75.1002,359.2854200396138,4.552558893283854,343.1346656586528,1702.9715733233536,80.99378717147621,539699.4693081408,105322.97806759388,0.979035486561151,4.574830960308423,84.05780139731144
375.17,5.0,375.36,2011.51,75.2798,500000,100000,1,5.0,75.2798,353.7295916681443,5.07675076500134,356.153058823922,2062.8845487269564,78.72251750572141,520530.48337539606,99679.39850691496,1.0083080440845895,4.905433685139878,83.64802713438782
377.19,0.5,378.234,2011.51,63.1484,500000,100000,1,0.5,63.1484,383.93769072248847,0.5072933181344578,363.5919085144816,1477.0972541088242,65.5272514737243,504516.1132749079,98529.27601431785,1.0180509643975302,0.4909827086610093,77.45956534818552
377.19,1.0,376.607,2011.51,70.016,500000,100000,1,1.0,70.016,398.606200190986,1.020125810486766,377.8034696189919,1886.3936718302857,48.8286957535724,487869.8730012399,100767.59361812864,0.994384491316994,0.9446389567879128,69.86705521720414
377.19,1.5,376.016,2011.51,72.509,500000,100000,1,1.5,72.509,390.13252406036816,1.345394593198282,406.0673009678554,1976.111782649139,73.46812787021548,462602.3661832603,110314.03660694892,1.0669730808260394,1.4635257842768148,65.2441390911848
377.19,2.0,375.711,2011.51,73.796,500000,100000,1,2.0,73.796,364.90114324432807,1.8895974366527613,255.5111080882687,1515.7382627342913,66.21347069311602,526173.1315602405,99591.01111459643,1.0628097607991491,1.962429953095879,80.48763587623583
377.19,2.5,375.525,2011.51,74.5814,500000,100000,1,2.5,74.5814,354.5530099111316,2.702734218473132,345.48748130831,2147.303387361213,81.92121579030413,460201.62020772,103096.9680464603,1.0374634555743658,2.453494780934075,85.66277781470583
377.19,3.0,375.4,2011.51,75.1106,500000,100000,1,3.0,75.1106,368.0575875027789,2.797243870196303,352.17663164896817,2011.4374397336585,61.9376914432423,509928.77505768905,100277.70121741745,0.9808903422289564,3.088557370118278,71.56337751328839
377.19,3.5,375.309,2011.51,75.4913,500000,100000,1,3.5,75.4913,407.9764609864987,3.425345063649944,308.24249899406306,1917.2014289343529,81.20812292082998,495172.7685040073,97330.70733978436,0.964210951250984,3.439772633871423,81.822115575609
377.19,4.0,375.241,2011.51,75.7784,500000,100000,1,4.0,75.7784,365.8702098052237,4.078310235052019,350.04366013688315,1897.4674640423416,75.40829798801735,504736.64554482215,94548.26401305152,1.0155441497192832,3.943186436051085,81.92600116840681
377.19,4.5,375.188,2011.51,76.0025,500000,100000,1,4.5,76.0025,382.4893661295488,4.367993717528579,342.8974773495176,1956.1966157133973,60.45362226712362,494085.53331638855,99937.2750329834,0.9115978203959362,4.739825493707358,75.00109098777637
377.19,5.0,375.146,2011.51,76.1824,500000,100000,1,5.0,76.1824,389.0644851442584,5.111439962804282,410.3858296034194,1746.1107229940694,81.48951129438039,493271.5665107501,93757.0698651118,1.0394316684075589,4.923023303581171,77.08186578213
379.211,0.5,378.029,2011.51,64.0117,500000,100000,1,0.5,64.0117,363.4927986456616,0.5476872668138317,391.0093949962833,1988.5121850931148,64.31408288031233,480662.223774981,91057.45370899235,1.0645965523201528,0.5112793668853755,69.77813865431072
379.211,1.0,376.4,2011.51,70.8916,500000,100000,1,1.0,70.8916,400.0444134409457,0.9738792635811244,332.10073526016714,1942.9268941286512,46.45985815312649,514028.5946942789,97333.8301021652,1.0113811396241268,0.9781509933004664,60.90503572089781
379.211,1.5,375.808,2011.51,73.3882,500000,100000,1,1.5,73.3882,363.6970858245176,1.5777753993276868,361.79192081938254,1789.5590238956872,74.48389318969909,467754.789546878,99127.72856754044,0.954119263808384,1.416010065713501,77.52449446374831
379.211,2.0,375.502,2011.51,74.6769,500000,100000,1,2.0,74.6769,366.37164151078906,1.984967162623629,416.9654760996856,2385.3309103577694,89.43517150674151,498835.574398174,95951.00942291558,1.0262372572573266,1.929958924314312,64.8586367662179
379.211,2.5,375.316,2011.51,75.4633,500000,100000,1,2.5,75.4633,370.2798546544085,2.577178578865916,402.5832673239864,2070.519585461358,71.40690797259242,484879.8999916815,99663.94951557256,1.0389397281911412,2.531094253155043,70.46292457858611
379.211,3.0,375.19,2011.51,75.9931,500000,100000,1,3.0,75.9931,360.2024918553166,3.385912858386672,309.35321890469305,1808.4889407900728,60.61600031163521,444907.0696602965,102660.65706980966,0.9780833315875924,2.799282744393092,81.6548285488214
